node_1|node_2|edge|chunk_id|node_3|node_4|level
artificial intelligence|european commission|The proposal for a Regulation laying down harmonised rules on artificial intelligence is initiated by the EUROPEAN COMMISSION, which recognizes the economic and societal benefits that Artificial Intelligence can bring across various industries and social activities.|a9ac3ec195684dd7925e593b470a6cf0|||
artificial intelligence|high-impact sectors|The use of artificial intelligence is especially needed in high-impact sectors, such as climate change, environment and health, the public sector, finance, mobility, home affairs and agriculture.|a9ac3ec195684dd7925e593b470a6cf0|||
ai technologies|socially and environmentally beneficial outcomes|The same elements and techniques that power the socio-economic benefits of AI can also bring about socially and environmentally beneficial outcomes, especially in high-impact sectors.|a9ac3ec195684dd7925e593b470a6cf0|||
european commission|white paper on artificial intelligence - a european approach to excellence and trust|The European Commission published a white paper on artificial intelligence that focuses on excellence and trust, as requested by the European Parliament.|680e602964f548e0b4c02964d07d4586|||
european council|white paper on artificial intelligence - a european approach to excellence and trust|The European Council called for a 'sense of urgency' to address emerging trends, including issues such as artificial intelligence, while ensuring a high level of data protection, digital rights, and ethical standards.|680e602964f548e0b4c02964d07d4586|||
european parliament|white paper on artificial intelligence - a european approach to excellence and trust|The European Parliament specifically requested that the European Commission publish a white paper on artificial intelligence, with a focus on excellence and trust.|680e602964f548e0b4c02964d07d4586|||
european council|review of existing relevant legislation|In its 2019 Conclusions on the Coordinated Plan on the development and use of artificial intelligence Made in Europe, the European Council called for a review of the existing relevant legislation to make it fit for purpose for the new opportunities and challenges raised by AI.|680e602964f548e0b4c02964d07d4586|||
european council|determination of high-risk ai applications|The European Council called for a clear determination of the AI applications that should be considered high-risk.|680e602964f548e0b4c02964d07d4586|||
european parliament|ethical principles protection|The European Parliament requested that the European Commission ensure the protection of ethical principles while addressing emerging trends, including issues such as artificial intelligence.|680e602964f548e0b4c02964d07d4586|||
european council|opacity, complexity, bias, and partially autonomous behaviour of ai|In its most recent Conclusions from 21 October 2020, the European Council called for addressing the opacity, complexity, bias, and partially autonomous behaviour of artificial intelligence.|680e602964f548e0b4c02964d07d4586|||
compatibility with fundamental rights|ai systems|certain AI systems require compatibility with fundamental rights to ensure their compatibility with fundamental rights and facilitate the enforcement of legal rules|054628088e3a46899d3d2ef31e119b9b|||
european parliament|ai|The European Parliament has adopted a number of resolutions related to AI, including on ethics, liability, copyright, AI in criminal matters and AI in education, culture and the audio-visual sector.|054628088e3a46899d3d2ef31e119b9b|||
commission|legislative action|The EP Resolution on a Framework of Ethical Aspects of Artificial Intelligence, Robotics and Related Technologies recommends to the Commission to propose legislative action to harness the opportunities and benefits of AI, but also to ensure protection of ethical principles.|054628088e3a46899d3d2ef31e119b9b|||
european parliament resolution of 20 october 2020 with recommendations to the commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies, 2020/2012(inl)|council of the european union, artificial intelligence b) conclusions on the coordinated plan on artificial intelligence-adoption 6177/19, 2019|The Council's conclusions on the coordinated plan for AI and the European Parliament's recommendations are related as they both discuss the development and implementation of AI technology.|7902fe386ba54b2fa2e1b4351c5cfc55|||
european parliament resolution of 20 october 2020 with recommendations to the commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies, 2020/2012(inl)|european council, special meeting of the european council (1and 2 october 2020) ­ conclusions euco 13/20, 2020|The conclusions from the European Council's special meeting and the recommendations made by the European Parliament both relate to the development of AI and its impact on society.|7902fe386ba54b2fa2e1b4351c5cfc55|||
european parliament resolution of 20 october 2020 with recommendations to the commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies, 2020/2012(inl)|european council, european council meeting (19 october 2017) ­ conclusion euco 14/17, 2017|The European Council's conclusions from their meeting in 2017 and the European Parliament's recommendations both touch upon the development of AI technology.|7902fe386ba54b2fa2e1b4351c5cfc55|||
european parliament resolution of 20 october 2020 with recommendations to the commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies, 2020/2012(inl)|council of the european union, presidency conclusions - the charter of fundamental rights in the context of artificial intelligence and digital change, 11481/20, 2020|The Council's presidency conclusions regarding AI and the protection of fundamental rights are related to the European Parliament's recommendations for a framework of ethical aspects of AI.|7902fe386ba54b2fa2e1b4351c5cfc55|||
european parliament resolution of 20 october 2020 with recommendations to the commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies, 2020/2012(inl)|european parliament resolution of 20 october 2020 on intellectual property rights for the development of artificial intelligence technologies, 2020/2015(ini)|The European Parliament's recommendations regarding IP rights and AI are related as they both discuss the legal framework surrounding the development of this technology.|7902fe386ba54b2fa2e1b4351c5cfc55|||
european parliament resolution of 20 october 2020 with recommendations to the commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies, 2020/2012(inl)|european parliament draft report, artificial intelligence in criminal law and its use by the police and judicial authorities in criminal matters, 2020/2016(ini)|The European Parliament's recommendations regarding AI in criminal law and the draft report on this topic are related as they both address the potential impact of AI technology on the justice system.|7902fe386ba54b2fa2e1b4351c5cfc55|||
ai systems|lawful, safe and trustworthy ai applications|This proposal aims to facilitate the development of a single market for lawful, safe and trustworthy AI applications by ensuring legal certainty for investors and innovators, preventing market fragmentation, and enhancing governance and effective enforcement of existing law on fundamental rights and safety requirements applicable to AI systems.|6ec1993cb6834efb971aca75a23413c4|||
ai systems|existing law on fundamental rights and union values|This proposal ensures that AI systems placed on the Union market and used are safe and respect existing law on fundamental rights and Union values.|6ec1993cb6834efb971aca75a23413c4|||
proposal|european parliament draft report|The proposed regulatory framework on Artificial Intelligence takes into account the aforementioned resolution of the European Parliament in full respect of proportionality, subsidiarity and better law making principles.|6ec1993cb6834efb971aca75a23413c4|||
digital education action plan|ethical guidelines in ai and data usage in education|The Commission Communication COM(2020) 624 final foresees the development of ethical guidelines in AI and Data usage in education as part of the Digital Education Action Plan 2021-2027: Resetting education and training for the digital age.|6ec1993cb6834efb971aca75a23413c4|||
commission communication|european parliament draft report|The Commission Communication COM(2020) 624 final takes into account the aforementioned resolution of the European Parliament in full respect of proportionality, subsidiarity and better law making principles.|6ec1993cb6834efb971aca75a23413c4|||
proposal|ai systems placed on the union market and used|This proposal ensures that AI systems placed on the Union market and used are safe and respect existing law on fundamental rights and Union values.|6ec1993cb6834efb971aca75a23413c4|||
